,Name,symbol,Emissions (tCO2e),PARENT CO. PERCENT OWNERSHIP
DUKE ENERGY CORP,L V Sutton Steam Electric Plant,DUK,1570654.478,100.0
DUKE ENERGY CORP,G G Allen,DUK,535362.742,100.0
DUKE ENERGY CORP,Buck,DUK,1472875.574,100.0
DUKE ENERGY CORP,Cliffside,DUK,4201415.576,100.0
DUKE ENERGY CORP,Dan River,DUK,1740005.152,100.0
DUKE ENERGY CORP,Marshall,DUK,5592487.534,100.0
DUKE ENERGY CORP,H B Robinson / Darlington Electric Power Plant,DUK,4768.236,100.0
DUKE ENERGY CORP,W S Lee,DUK,2325677.904,100.0
DUKE ENERGY CORP,East Bend,DUK,2496701.152,100.0
DUKE ENERGY CORP,DeBary Power Plant,DUK,106480.636,100.0
DUKE ENERGY CORP,Gibson,DUK,11391065.566,90.11
DUKE ENERGY CORP,Mayo Electric Generating Plant,DUK,813227.742,100.0
DUKE ENERGY CORP,Woodsdale,DUK,54568.842,100.0
DUKE ENERGY CORP,Lincoln,DUK,34665.348,100.0
DUKE ENERGY CORP,Hines Energy Complex,DUK,4455219.706,100.0
DUKE ENERGY CORP,Tiger Bay Cogeneration Facility,DUK,308988.304,100.0
DUKE ENERGY CORP,Henry County Generating Station,DUK,157710.216,100.0
DUKE ENERGY CORP,Richmond County Combustion Turbine Plant,DUK,3528561.59,100.0
DUKE ENERGY CORP,Belews Creek,DUK,4441528.054,100.0
DUKE ENERGY CORP,Intercession City Power Plant,DUK,237837.352,95.48
DUKE ENERGY CORP,Madison Generating Station,DUK,219329.488,100.0
DUKE ENERGY CORP,"Duke Energy Vermillion, II LLC",DUK,115264.972,62.5
DUKE ENERGY CORP,Rockingham County Combustion Turbine,DUK,371064.676,100.0
DUKE ENERGY CORP,Wheatland Generating Facility LLC,DUK,110118.392,100.0
DUKE ENERGY CORP,Crystal River Power Plant,DUK,7807311.774,100.0
DUKE ENERGY CORP,P L Bartow Power Plant,DUK,2782295.654,100.0
DUKE ENERGY CORP,Suwannee River Power Plant,DUK,44231.122,100.0
DUKE ENERGY CORP,Cayuga,DUK,4139850.158,100.0
DUKE ENERGY CORP,Edwardsport,DUK,2977903.76,100.0
DUKE ENERGY CORP,Noblesville,DUK,680142.48,100.0
DUKE ENERGY CORP,R Gallagher,DUK,62246.078,100.0
DUKE ENERGY CORP,Piedmont Natural Gas - South Carolina,DUK,18004.2,100.0
DUKE ENERGY CORP,Piedmont Natural Gas - North Carolina,DUK,146272.2,100.0
DUKE ENERGY CORP,Duke Energy Kentucky Gas Operation,DUK,6381.7,100.0
DUKE ENERGY CORP,Duke Energy Ohio Gas Operation,DUK,28747.1,100.0
DUKE ENERGY CORP,AEP Corporate SF6 Emissions,DUK,132693.72,0.26
DUKE ENERGY CORP,Piedmont Natural Gas - Tennessee,DUK,43418.65,100.0
DUKE ENERGY CORP,Asheville Steam Electric Plant,DUK,1200948.344,100.0
DUKE ENERGY CORP,Anclote Power Plant,DUK,1388459.304,100.0
DUKE ENERGY CORP,T&D FLORIDA,DUK,126125.04,100.0
DUKE ENERGY CORP,Duke Energy Power Delivery Midwest,DUK,8789.4,100.0
DUKE ENERGY CORP,Duke Energy Power Delivery Carolinas,DUK,249121.92,100.0
DUPONT DE NEMOURS INC,"Spruance Genco, LLC",DD,0.0,100.0
DUPONT DE NEMOURS INC,DU PONT PONTCHARTRAIN WORKS,DD,98325.08,100.0
DUPONT DE NEMOURS INC,DUPONT CIRCLEVILLE PLANT,DD,44434.33,100.0
DUPONT DE NEMOURS INC,SOLAE CO GIBSON,DD,34572.62,100.0
DUPONT DE NEMOURS INC,PRYOR SOLAE,DD,118162.424,100.0
DUPONT DE NEMOURS INC,DUPONT EXPERIMENTAL STATION,DD,40163.286,100.0
DUPONT DE NEMOURS INC,DUPONT KINSTON PLANT,DD,34256.472,100.0
DUPONT DE NEMOURS INC,PROTEIN TECHNOLOGIES INTERN.,DD,13026.228,100.0
DUPONT DE NEMOURS INC,"DuPont Nutrition USA, Inc",DD,30470.836,100.0
DUPONT DE NEMOURS INC,"DUPONT NUTRITION USA, INC",DD,27491.44,100.0
EAGLE MATERIALS INC,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,EXP,14084.496,100.0
EAGLE MATERIALS INC,REPUBLIC PAPERBOARD CO,EXP,73408.12,100.0
EAGLE MATERIALS INC,NEVADA CEMENT COMPANY,EXP,319311.188,100.0
EAGLE MATERIALS INC,Central Plains Cement Company LLC,EXP,772344.62,100.0
EAGLE MATERIALS INC,Georgetown Facility,EXP,78240.956,100.0
EAGLE MATERIALS INC,AMERICAN GYPSUM COMPANY,EXP,40892.996,100.0
EAGLE MATERIALS INC,AMERICAN GYPSUM CO /GYPSUM WALLBOARD PLT,EXP,94862.692,100.0
EAGLE MATERIALS INC,MOUNTAIN CEMENT CO,EXP,502250.478,100.0
EAGLE MATERIALS INC,Fairborn Cement Company LLC,EXP,539609.86,100.0
EAGLE MATERIALS INC,ILLINOIS CEMENT CO,EXP,700143.848,100.0
EAGLE MATERIALS INC,Central Plains Cement Company,EXP,464375.876,100.0
EAGLE MATERIALS INC,AMERICAN GYPSUM COMPANY,EXP,65195.504,100.0
EAGLE MATERIALS INC,KOSMOS CEMENT CO,EXP,1050335.73,100.0
EARTHSTONE ENERGY INC,"Earthstone Operating, LLC - Basin 220",ESTE,16878.474,100.0
EARTHSTONE ENERGY INC,Earthstone Energy 430 Permian,ESTE,76163.332,100.0
EASTMAN CHEMICAL CO,Eastman Chemical Company,EMN,3704705.598,100.0
EASTMAN CHEMICAL CO,SOLUTIA INC ANNISTON PLANT,EMN,0.0,100.0
EASTMAN CHEMICAL CO,"Eastman Chemical Resins, Inc. - Jefferson Site",EMN,3191.588,100.0
