IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	98741000
Shares Outstanding: 1445600000
Expense Ratio: 0.07%
Tracks This Index: MSCI EAFE Investable Market Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Blackrock Financial Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
Sartorius AG Pref,SRT3,0.06%
Henkel AG & Co. KGaA Pref,HEN3,0.06%
OMRON Corporation,6645,0.06%
Suzuki Motor Corp.,7269,0.06%
Bank Hapoalim BM,POLI,0.06%
ASX Limited,ASX,0.06%
Next plc,NXT,0.06%
"Mitsubishi Heavy Industries, Ltd.",7011,0.06%
Cochlear Limited,COH,0.06%
Groupe Bruxelles Lambert SA,GBLB,0.06%
Telenor ASA,TEL,0.06%
"OBIC Co., Ltd.",4684,0.06%
"Kirin Holdings Company, Limited",2503,0.06%
Stora Enso Oyj Class R,STERV,0.06%
Z Holdings Corporation,4689,0.06%
Nippon Yusen Kabushiki Kaisha,9101,0.06%
Investor AB Class A,INVE.A,0.06%
Sartorius Stedim Biotech SA,DIM,0.06%
MTU Aero Engines AG,MTX,0.06%
QIAGEN NV,QIA,0.06%
"Sekisui House, Ltd.",1928,0.06%
Xero Limited,XRO,0.06%
"ENEOS Holdings, Inc.",5020,0.06%
"Eisai Co., Ltd.",4523,0.06%
Intertek Group plc,ITRK,0.06%
Zalando SE,ZAL,0.06%
Aena SME SA,AENA,0.06%
Erste Group Bank AG,EBS,0.06%
"Nomura Research Institute,Ltd.",4307,0.06%
Lasertec Corp.,6920,0.06%
Informa Plc,INF,0.06%
Asahi Kasei Corporation,3407,0.06%
Suncorp Group Limited,SUN,0.06%
Brambles Limited,BXB,0.06%
Snam S.p.A.,SRG,0.06%
Telia Company AB,TELIA,0.06%
"Nomura Holdings, Inc.",8604,0.06%
Terna S.p.A.,TRN,0.06%
"NEXON Co., Ltd.",3659,0.06%
Atlantia S.p.A,ATL,0.06%
Entain PLC,ENT,0.06%
Danske Bank A/S,DANSKE,0.06%
"Sumitomo Mitsui Trust Holdings, Inc.",8309,0.06%
Moncler SpA,MONC,0.06%
Scentre Group,SCG,0.06%
Daimler Truck Holding AG,DTG,0.06%
EQT AB,EQT,0.06%
IMCD N.V.,IMCD,0.05%
"Japan Exchange Group, Inc.",8697,0.05%
Worldline SA,WLN,0.05%
ageas SA/NV,AGS,0.05%
Pandora A/S,PNDORA,0.05%
Dentsu Group Inc.,4324,0.05%
Antofagasta plc,ANTO,0.05%
"ONO Pharmaceutical Co., Ltd.",4528,0.05%
Origin Energy Limited,ORG,0.05%
"Nitori Holdings Co., Ltd.",9843,0.05%
Rolls-Royce Holdings plc,RR,0.05%
Sage Group plc,SGE,0.05%
Power Assets Holdings Limited,6,0.05%
Barry Callebaut AG,BARN,0.05%
Rheinmetall AG,RHM,0.05%
APA Group,APA,0.05%
Getinge AB Class B,GETI.B,0.05%
"Resona Holdings, Inc.",8308,0.05%
Covestro AG,1COV,0.05%
United Utilities Group PLC,UU,0.05%
"Sumitomo Electric Industries, Ltd.",5802,0.05%
ICL Group Ltd.,ICL,0.05%
Smurfit Kappa Group Plc,SK3,0.05%
H&M Hennes & Mauritz AB Class B,HM.B,0.05%
PUMA SE,PUM,0.05%
Yaskawa Electric Corporation,6506,0.05%
Baloise-Holding AG,BALN,0.05%
Hannover Rueck SE,HNR1,0.05%
Lundin Energy AB,LUNE,0.05%
Northern Star Resources Ltd,NST,0.05%
Severn Trent Plc,SVT,0.05%
Dexus,DXS,0.05%
Heineken Holding N.V.,HEIO,0.05%
FinecoBank SpA,FBK,0.05%
Beiersdorf AG,BEI,0.05%
Vivendi SE,VIV,0.05%
Coca-Cola Europacific Partners plc,CCEP,0.05%
Yara International ASA,YAR,0.05%
Tabcorp Holdings Limited,TAH,0.05%
Alfa Laval AB,ALFA,0.05%
Persimmon Plc,PSN,0.05%
VAT Group AG,VACN,0.05%
Computershare Limited,CPU,0.05%
Elisa Oyj Class A,ELISA,0.05%
NEC Corp.,6701,0.05%
SUBARU CORP,7270,0.05%
Kikkoman Corporation,2801,0.05%
Tryg A/S,TRYG,0.05%
West Japan Railway Company,9021,0.05%
Nitto Denko Corp.,6988,0.05%
Toyota Industries Corp.,6201,0.05%
St. James\'s Place Plc,STJ,0.05%
Aegon NV,AGN,0.05%
"Sumitomo Realty & Development Co., Ltd.",8830,0.05%
Burberry Group plc,BRBY,0.05%
Fisher & Paykel Healthcare Corporation Limited,FPH,0.05%
"Nissan Motor Co., Ltd.",7201,0.05%
Ramsay Health Care Limited,RHC,0.05%
Mondi plc,MNDI,0.05%
