VEA: Vanguard FTSE Developed Markets ETF
Inception Date: 2007-07-20
Fund Holdings as of: 2022-02-28
Total Assets Under Management (in thousands):	105776000
Shares Outstanding: 2239580000
Expense Ratio: 0.05%
Tracks This Index: FTSE Developed ex US All Cap Net Tax (US RIC) Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VEA


Holding,Symbol,Weighting
WSP Global Inc.,WSP,0.06%
"Sumitomo Mitsui Trust Holdings, Inc.",8309,0.06%
Moncler SpA,MONC,0.06%
NICE Ltd,NICE,0.06%
Daimler Truck Holding AG,DTG,0.06%
Carlsberg AS Class B,CARL.B,0.06%
"Samsung Electronics Co., Ltd. Sponsored GDR",SMSN,0.05%
Sartorius AG Pref,SRT3,0.05%
Chocoladefabriken Lindt & Spruengli AG Partizipsch.,LISP,0.05%
Worldline SA,WLN,0.05%
Eurofins Scientific Societe Europeenne,ERF,0.05%
"ONO Pharmaceutical Co., Ltd.",4528,0.05%
ASX Limited,ASX,0.05%
Next plc,NXT,0.05%
NTT DATA Corporation,9613,0.05%
Cochlear Limited,COH,0.05%
"Nitori Holdings Co., Ltd.",9843,0.05%
Rolls-Royce Holdings plc,RR,0.05%
Jardine Matheson Holdings Limited,J36,0.05%
LG Electronics Inc.,066570,0.05%
QBE Insurance Group Limited,QBE,0.05%
Groupe Bruxelles Lambert SA,GBLB,0.05%
Nordea Bank Abp,NDA.FI,0.05%
Royal KPN NV,KPN,0.05%
"OBIC Co., Ltd.",4684,0.05%
Telstra Corporation Limited,TLS,0.05%
Stora Enso Oyj Class R,STERV,0.05%
Barrick Gold Corporation,0R22,0.05%
Yaskawa Electric Corporation,6506,0.05%
Thales SA,HO,0.05%
Hannover Rueck SE,HNR1,0.05%
NIBE Industrier AB Class B,NIBE.B,0.05%
Renesas Electronics Corporation,6723,0.05%
QIAGEN NV,QIA,0.05%
"Sekisui House, Ltd.",1928,0.05%
"Sumitomo Metal Mining Co., Ltd.",5713,0.05%
Open Text Corporation,OTEX,0.05%
"ENEOS Holdings, Inc.",5020,0.05%
Hana Financial Group Inc.,086790,0.05%
Emera Incorporated,EMA,0.05%
TELUS Corporation,T,0.05%
Fairfax Financial Holdings Limited,FFH,0.05%
CK Asset Holdings Limited,1113,0.05%
Intertek Group plc,ITRK,0.05%
Mowi ASA,MOWI,0.05%
Persimmon Plc,PSN,0.05%
Tourmaline Oil Corp.,TOU,0.05%
Aena SME SA,AENA,0.05%
