Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Emissions from Gathering & Boosting by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported emissions from Gathering & Boosting,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012607,110070082398,Colt - Bend Arch Basin 425,425 - Bend Arch,Houston,TX,77056,"5400 Westheimer Ct, 2nd Floor",HARRIS COUNTY,29.74013,-95.47309,211130,W-GB,"36,943.27","24,371.00","12,559.75",12.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012672,110070082436,Colt - Fort Worth Syncline 420,420 - Fort Worth Syncline,Houston,TX,77056,"5400 Westheimer Ct, 2nd Floor",HARRIS COUNTY,29.74013,-95.47309,211130,W-GB,"73,399.49","56,918.90","16,441.25",39.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013415,110070543166,"Columbus Energy 220 Gulf Coast Basin (LA,TX) GB","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77024,10000 Memorial Dr. Suite 500,HARRIS COUNTY,29.77858,-95.48104,211130,W-GB,"27,104.46","23,865.30","3,225.75",13.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012534,110070082350,"Compass Production Partners, LP - Arkla Basin #230 Gathering & Boosting",230 - Arkla Basin,Tulsa,OK,74136,"5555 East 71st Street, Suite 8200",TULSA COUNTY,36.06093,-95.914545,211130,W-GB,"35,465.95","26,677.30","8,773.75",14.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012157,110070082179,"ConocoPhillips Gulf Coast Basin 220, Gathering and Boosting","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77079,925 N. Eldridge Parkway.,HARRIS COUNTY,29.782,-95.61749,211120,W-GB,"921,124.03","779,035.40","141,720.00",368.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012230,110070082202,"ConocoPhillips Permian Basin 430, Gathering and Boosting",430 - Permian Basin,Houston,TX,77079,925 N. Eldridge Parkway,HARRIS COUNTY,29.782,-95.61749,211120,W-GB,"130,431.33","105,542.60","24,833.00",55.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012301,110070082227,"ConocoPhillips' Williston, Gathering & Boosting (395)",395 - Williston Basin,Houston,TX,77079,925 N. Eldridge Parkway,HARRIS COUNTY,29.78754,-95.61767,211120,W-GB,"113,307.77","94,051.50","19,222.00",34.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013849,,Constellation Compressor Station,160A - Appalachian Basin (Eastern Overthrust Area),West Sunbury,PA,16061,160 Whitmire Road,,40.9473602952759,-79.8622372448081,211130,W-GB,"36,864.51","36,511.00",339.50,14.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013004,110070209434,Cook Inlet Energy Onshore Gathering and Boosting,,Anchorage,AK,99503,188 W Northern Lights Blvd Suite 510,ANCHORAGE MUNICIPALITY,61.21756,-149.89405,211120,W-GB,"20,513.73","18,973.00","1,530.00",10.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013981,,Crescent Pass 260 East Texas Basin GB,260 - East Texas Basin,Houston,TX,77070,19500 State Highway 249,,29.9802174401883,-95.5640213102308,211130,W-GB,"69,106.26","64,044.30","5,026.50",35.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
