Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Direct Emissions from Transmission Pipelines by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Transmission Pipelines,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Pennsylvania,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"17,983.20",20.70,"17,962.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",West Virginia,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"15,613.00",18.00,"15,595.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Ohio,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"2,960.40",3.40,"2,957.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Louisiana,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"1,193.90",1.40,"1,192.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012821,110070082518,Texas Gas Pipeline Blowdowns,Louisiana,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,"1,687.69",1.94,"1,685.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012821,110070082518,Texas Gas Pipeline Blowdowns,Tennessee,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,373.43,0.43,373.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012821,110070082518,Texas Gas Pipeline Blowdowns,Kentucky,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,"10,101.14",11.64,"10,089.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012821,110070082518,Texas Gas Pipeline Blowdowns,Mississippi,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,"4,304.21",4.96,"4,299.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012821,110070082518,Texas Gas Pipeline Blowdowns,Arkansas,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,79.84,0.09,79.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012821,110070082518,Texas Gas Pipeline Blowdowns,Illinois,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,170.20,0.20,170.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012821,110070082518,Texas Gas Pipeline Blowdowns,Indiana,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,72.58,0.08,72.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012512,110070082336,TransCanada / ANR Pipeline,Montana,Houston,TX,77002,"700 Louisiana St., Suite 700",HARRIS COUNTY,29.7606,-95.36588,486210,W-TRANS,"8,017.07",9.24,"8,007.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
