Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Emissions from Onshore Oil & Gas Production by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported emissions from Onshore Oil & Gas Production ,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Does the facility employ continuous emissions monitoring? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013339,,Basin 360 - Mach,360 - Anadarko Basin,Oklahoma City,OK,73134,14201 Wireless Way,,36.94208,-99.213,211120,W-ONSH,"446,185.84","392,753.40","53,192.25",240.19,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013732,,Basin 360 - Mach II,360 - Anadarko Basin,Oklahoma City,OK,73134,14201 Wireless Way,,35.614157,-97.580313,211130,W-ONSH,"171,882.43","43,928.20","127,929.50",24.73,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013227,,Basin 360 - SK Nemaha,360 - Anadarko Basin,Houston,TX,77079,"11700 Katy Freeway, Suite 900",,36.2805,-97.7491,211120,W-ONSH,"62,288.38","42,813.90","19,449.75",24.73,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013751,,Basin 375 - BCE-Mach LLC,375 - Sedgwick Basin,Oklahoma City,OK,73134,"14201 Wireless Way, Suite 300",,35.614157,-97.580313,211120,W-ONSH,"22,625.02","19,985.40","2,628.00",11.62,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008577,110040414851,Basin 395 North Dakota - OSP,395 - Williston Basin,Dallas,TX,75201,1900 North Akard St.,DALLAS COUNTY,32.7871,-96.80262,211120,W-ONSH,"50,254.12","45,802.30","4,432.75",19.07,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008642,110040414851,Basin 430 West Texas - OSP,430 - Permian Basin,Dallas,TX,75201,1900 North Akard St.,DALLAS COUNTY,32.7871,-96.80262,211120,W-ONSH,"143,016.81","128,563.50","14,380.00",73.31,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008270,110055512805,Basin 540 Denver Julesburg - Noble Energy Inc.,540 - Denver Basin,Houston,TX,77070,1001 Noble Energy Way,HARRIS COUNTY,29.960188,-95.558799,211130,W-ONSH,"380,154.53","219,566.30","160,406.75",181.48,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008087,110045438184,Bayswater Exploration & Production Denver Basin (540) Operations,540 - Denver Basin,Denver,CO,80202,"730 17th Street, Suite 610",DENVER COUNTY,39.7466,-104.99159,211120,W-ONSH,"143,810.21","111,472.40","32,205.50",132.31,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013986,,"Bayswater Operating, LLC (430) Permian Basin",430 - Permian Basin,DENVER,CO,80202,730 17TH STREET STE 500,,39.7471385024554,-104.991536960204,211120,W-ONSH,"30,858.94","14,215.50","16,619.00",24.44,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013677,,Bedrock 415 Strawn Basin,415 - Strawn Basin,Bridgeport,TX,76426,306 Hwy 380,,33.22296,-97.764994,211130,W-ONSH,"47,539.48","19,356.00","28,172.75",10.73,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013657,,Bedrock 420 Fort Worth Syncline,420 - Fort Worth Syncline,Bridgeport,TX,76426,306 Hwy 380,,33.223764,-97.764994,211130,W-ONSH,"196,569.01","102,383.60","94,127.00",58.41,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008308,,Berry Petroleum Company - Los Angeles Basin 760,760 - Los Angeles Basin,Newhall,CA,91321,25121 N. Sierra Hwy.,,34.3677169,-118.4747173,211120,W-ONSH,"210,919.23","210,641.40",140.75,137.08,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008163,110055512529,Berry Petroleum Company - San Joaquin Basin 745,745 - San Joaquin Basin,Bakersfield,CA,93309,5201 Truxtun Ave,,39.7483,-104.9874,211120,W-ONSH,"1,167,465.51","1,165,465.30","1,308.25",691.96,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008167,110055512529,Berry Petroleum Company - Uinta Basin 575,575 - Uinta Basin,Denver,CO,80202,"1999 Broadway, Suite 3700",,39.7483,-104.9874,211120,W-ONSH,"125,426.10","12,882.10","112,536.25",7.75,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008165,110055512529,Berry Petroleum Company 585 Piceance Basin Production Segment,595 - Piceance Basin,Bakersfield,CA,93309,5201 Truxtun Ave.,,39.7483,-104.9874,211130,W-ONSH,"43,180.25",476.20,"42,703.75",0.30,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013407,,Birch Resources,430 - Permian Basin,Midland,TX,79705,2918 N. County Rd 1140,,32.38190713,-101.18831875,211120,W-ONSH,"336,834.36","311,762.90","24,946.00",125.46,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013547,,"Bison Oil & Gas II, LLC",540 - Denver Basin,Denver,CO,80202,"518 17th Street, Suite 1800",,39.7449664372079,-104.989743035582,211120,W-ONSH,"27,186.51","20,029.40","7,128.50",28.61,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
